broadband_robust_z,classification,confidence,confidence_score,frame_30fps,kick_ratio,low_band_robust_z,snare_band_robust_z,snare_ratio,source,time_ms
7.864,snare,high,0.95,3095,0.055,0.391,6.667,0.945,MIXED_MASTER_ONLY,103180
6.708,snare,high,0.95,3113,0.27,2.514,6.784,0.73,MIXED_MASTER_ONLY,103780
6.921,snare,high,0.95,3131,0.198,1.971,7.988,0.802,MIXED_MASTER_ONLY,104380
8.046,snare,high,0.95,3143,0.07,0.56,7.496,0.93,MIXED_MASTER_ONLY,104780
4.946,snare,high,0.95,3149,0.086,0.532,5.653,0.914,MIXED_MASTER_ONLY,104980
6.634,snare,high,0.95,3167,0.216,2.039,7.387,0.784,MIXED_MASTER_ONLY,105580
7.287,snare,high,0.95,3179,0.236,2.366,7.66,0.764,MIXED_MASTER_ONLY,105980
8.243,snare,high,0.95,3191,0.137,1.132,7.156,0.863,MIXED_MASTER_ONLY,106380
6.666,snare,high,0.95,3209,0.242,2.264,7.091,0.758,MIXED_MASTER_ONLY,106980
7.125,snare,high,0.95,3227,0.251,2.502,7.484,0.749,MIXED_MASTER_ONLY,107580
8.484,snare,high,0.95,3239,0.127,1.136,7.793,0.873,MIXED_MASTER_ONLY,107980
6.533,snare,high,0.95,3263,0.222,2.04,7.131,0.778,MIXED_MASTER_ONLY,108780
7.292,snare,high,0.95,3275,0.265,2.587,7.181,0.735,MIXED_MASTER_ONLY,109180
7.984,snare,high,0.95,3287,0.137,1.066,6.712,0.863,MIXED_MASTER_ONLY,109580
6.591,snare,high,0.95,3305,0.245,2.29,7.074,0.755,MIXED_MASTER_ONLY,110180
7.204,snare,high,0.95,3323,0.231,2.259,7.512,0.769,MIXED_MASTER_ONLY,110780
8.016,snare,high,0.95,3335,0.124,1.032,7.314,0.876,MIXED_MASTER_ONLY,111180
6.936,snare,high,0.95,3359,0.236,2.247,7.29,0.764,MIXED_MASTER_ONLY,111980
6.426,snare,high,0.95,3371,0.213,1.869,6.922,0.787,MIXED_MASTER_ONLY,112380
7.8,snare,high,0.95,3383,0.077,0.621,7.409,0.923,MIXED_MASTER_ONLY,112780
7.177,snare,high,0.95,3401,0.257,2.508,7.267,0.743,MIXED_MASTER_ONLY,113380
7.545,snare,high,0.95,3419,0.244,2.479,7.682,0.756,MIXED_MASTER_ONLY,113980
8.213,snare,high,0.95,3431,0.139,1.197,7.412,0.861,MIXED_MASTER_ONLY,114380
6.362,snare,high,0.95,3455,0.243,2.189,6.835,0.757,MIXED_MASTER_ONLY,115180
6.658,snare,high,0.95,3467,0.27,2.405,6.51,0.73,MIXED_MASTER_ONLY,115580
7.693,snare,high,0.95,3479,0.055,0.37,6.311,0.945,MIXED_MASTER_ONLY,115980
6.82,snare,high,0.95,3497,0.253,2.408,7.093,0.747,MIXED_MASTER_ONLY,116580
7.629,snare,high,0.95,3515,0.193,2.009,8.377,0.807,MIXED_MASTER_ONLY,117180
8.071,snare,high,0.95,3527,0.104,0.869,7.495,0.896,MIXED_MASTER_ONLY,117580
4.779,snare,high,0.95,3533,0.261,1.611,4.561,0.739,MIXED_MASTER_ONLY,117780
7.479,snare,high,0.95,3551,0.233,2.39,7.864,0.767,MIXED_MASTER_ONLY,118380
6.966,snare,high,0.95,3563,0.247,2.388,7.278,0.753,MIXED_MASTER_ONLY,118780
8.078,snare,high,0.95,3575,0.113,0.879,6.929,0.887,MIXED_MASTER_ONLY,119180
6.414,snare,high,0.95,3593,0.271,2.315,6.228,0.729,MIXED_MASTER_ONLY,119780
7.179,snare,high,0.95,3611,0.237,2.308,7.444,0.763,MIXED_MASTER_ONLY,120380
8.131,snare,high,0.95,3623,0.026,0.199,7.369,0.974,MIXED_MASTER_ONLY,120780
6.925,snare,high,0.95,3647,0.256,2.445,7.099,0.744,MIXED_MASTER_ONLY,121580
6.591,snare,high,0.95,3659,0.252,2.236,6.654,0.748,MIXED_MASTER_ONLY,121980
8.142,snare,high,0.95,3671,0.09,0.701,7.109,0.91,MIXED_MASTER_ONLY,122380
6.44,snare,high,0.95,3689,0.266,2.394,6.6,0.734,MIXED_MASTER_ONLY,122980
6.816,snare,high,0.95,3707,0.259,2.391,6.825,0.741,MIXED_MASTER_ONLY,123580
8.056,snare,high,0.95,3719,0.09,0.737,7.412,0.91,MIXED_MASTER_ONLY,123980
7.314,snare,high,0.95,3743,0.225,2.279,7.868,0.775,MIXED_MASTER_ONLY,124780
7.618,snare,high,0.95,3755,0.243,2.513,7.844,0.757,MIXED_MASTER_ONLY,125180
7.718,snare,high,0.95,3767,0.118,0.957,7.17,0.882,MIXED_MASTER_ONLY,125580
6.625,snare,high,0.95,3785,0.302,2.565,5.918,0.698,MIXED_MASTER_ONLY,126180
6.456,snare,high,0.95,3803,0.267,2.455,6.746,0.733,MIXED_MASTER_ONLY,126780
7.994,snare,high,0.95,3815,0.018,0.132,7.139,0.982,MIXED_MASTER_ONLY,127180
7.203,snare,high,0.95,3839,0.251,2.505,7.477,0.749,MIXED_MASTER_ONLY,127980
6.34,snare,high,0.95,3851,0.24,2.153,6.812,0.76,MIXED_MASTER_ONLY,128380
7.973,snare,high,0.95,3863,0.046,0.349,7.276,0.954,MIXED_MASTER_ONLY,128780
5.907,snare,high,0.95,3881,0.274,2.331,6.168,0.726,MIXED_MASTER_ONLY,129380
6.672,snare,high,0.95,3899,0.282,2.487,6.348,0.718,MIXED_MASTER_ONLY,129980
8.083,snare,high,0.95,3911,0.134,1.076,6.926,0.866,MIXED_MASTER_ONLY,130380
2.451,snare,high,0.95,3917,0.137,0.559,3.517,0.863,MIXED_MASTER_ONLY,130580
3.107,snare,high,0.95,3925,0.0,-0.505,3.348,1.0,MIXED_MASTER_ONLY,130830
7.265,snare,high,0.95,3935,0.256,2.466,7.164,0.744,MIXED_MASTER_ONLY,131180
7.294,snare,high,0.95,3947,0.241,2.345,7.378,0.759,MIXED_MASTER_ONLY,131580
7.932,snare,high,0.95,3959,0.062,0.461,6.967,0.938,MIXED_MASTER_ONLY,131980
6.998,snare,high,0.95,3977,0.237,2.245,7.239,0.763,MIXED_MASTER_ONLY,132580
2.835,snare,high,0.901,3984,0.23,0.92,3.083,0.77,MIXED_MASTER_ONLY,132790
