candidate_id,name,path,block,identity_confirmed,TYPE,MUSIC_READY,LYRICS_READY,VOCALS_READY,MIX_MASTER_READY,REVISION_REQUIRED,LIVE_READY,PRIORITY,NEXT_ACTION,ACTION_OWNER
cat2_35549f8c6f426681,O Maahi,O Maahi,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_ac22922e887b8dc4,O Re Piya,O Re Piya,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_34c4090bdc6b70b0,Pehle Bhi Main,Pehle Bhi Main,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_ce207aedcec807c8,Phil Moh,Phil Moh,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_c56f7f16c0194218,Phir aur Kya chaiye ,Phir aur Kya chaiye ,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_dd9806cb61943182,Qayde Se,Qayde Se,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_8259ba7267e4e89a,Ranjhaan,Ranjhaan,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2cf6a8cf1de575d7,Roya Jab Tu,Roya Jab Tu,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2e57fd59f550db5e,Saari Duniya,Saari Duniya,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_093ac13865586a20,Saiyaara,Saiyaara,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_28cbe448ddf09936,Satranga,Satranga,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f7697ee3c3bb86a6,Ae Dil Hai Mushkil,Songs voor 2022/Ae Dil Hai Mushkil,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e64844bc7095d5c1,Chunar,Songs voor 2022/Chunar,ambiguous_identity,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_eb056311e6761841,Mein Tenu,Songs voor 2022/Mein Tenu,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d504d8e4f57b8a77,Surili Akhiyon,Songs voor 2022/Surili Akhiyon,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_11f221664e7b149a,Tere Sang Yara,Songs voor 2022/Tere Sang Yara,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_008a538f6f9b4553,Tere Sang Ishq ,Tere Sang Ishq ,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_4371054f29c55215,Toh Phir Aao,Toh Phir Aao,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_360cae7d26003f10,Tujhe kitna G-70,Tujhe kitna G-70,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_624bc8b7a6462970,Tujhe ko,Tujhe ko,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b8046d1988d73287,Tum Jo Mil Gaye,Tum Jo Mil Gaye,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_58267979d8b6ad17,Tum Kya Mile,Tum Kya Mile,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_166608e1cbdb963e,Tum se hi ,Tum se hi ,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f110c9f9abd99452,TUMHE KITNA PYAAR,TUMHE KITNA PYAAR,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_1e590f0a69014da7,Ve Kamleya,Ve Kamleya,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b070da9b59558720,Ya Ali,Ya Ali,clear_song_folders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
